data,#cores,run,demeter_log_runtime,demeter_log_cputime,mprof_runtime,mprof_max_mem,mprof_mean_mem
drosophila,24,4,3040.395,17570202,3051.4567999839783,10971.738281,3285.537266730668
drosophila,24,5,3136.774,17367774,3148.178400039673,11141.035156,3339.7104019025232
drosophila,24,6,2957.719,17358583,2968.938400030136,10949.996094,3367.434914500589
drosophila,24,7,3050.791,17500059,3061.371600151062,11309.832031,3286.5907031037
drosophila,24,8,2954.52,17272218,2965.6027998924255,11241.710938,3321.8516044396256
drosophila,24,9,2591.769,17209774,2602.2483999729156,11042.429688,3723.097571367267
elegans,1,0,17449.705,15646631,17467.337599992752,565.53125,443.6160892841664
elegans,1,1,17373.939,15526910,17399.043699979782,559.0117190000001,432.21168107978303
elegans,1,2,17614.831,15810610,17642.937100172043,590.734375,453.86336952515177
elegans,1,3,17496.263,15667792,17515.550999879837,576.2695309999999,439.25228962037494
elegans,1,4,17450.922,15632836,17475.803400039673,582.7539059999999,439.2211583353551
elegans,1,5,17510.19,15701574,17535.013499975204,578.78125,437.1837547033974
elegans,1,6,17533.376,15696037,17558.26590013504,571.2734379999999,438.5341993760859
elegans,1,7,17368.199,15573153,17393.278399944305,598.9609379999999,449.8011530420727
elegans,1,8,17370.924,15556331,17398.687299966812,571.9570309999999,452.5277485931293
elegans,1,9,17590.016,15743377,17609.164600133896,572.0703120000001,435.38194939623656
elegans,2,0,9386.533,15576808,9403.401600122452,1074.25,821.8876523225753
elegans,2,1,9612.376,15729044,9629.535099983215,1143.0820310000001,807.8479426034683
elegans,2,2,9356.595,15687161,9373.747200012207,1100.6445310000001,834.3214368717905
elegans,2,3,9450.117,15784410,9467.638000011444,1088.1445310000001,820.5411706070505
elegans,2,4,9433.358,15597768,9450.099799871445,1070.578125,812.8180293428882
elegans,2,5,9315.462,15590981,9332.727100133896,1073.015625,831.9096956909751
elegans,2,6,9425.392,15626341,9442.404299974442,1079.4296880000002,821.4296345227671
elegans,2,7,9512.008,15604847,9525.11579990387,1075.4960939999999,814.9891640523566
elegans,2,8,9538.153,15789860,9556.000699996948,1151.1679689999999,827.0484006484508
elegans,2,9,9412.689,15685402,9430.011499881744,1074.21875,817.9510489149017
elegans,4,0,5219.442,15544448,5230.296700000763,2099.199219,1460.876119163778
elegans,4,1,5446.481,15789641,5458.830699920654,2015.875,1426.958463850696
elegans,4,2,5438.405,15841206,5451.00049996376,2101.050781,1457.3213873963973
elegans,4,3,5374.651,15650991,5387.375200033188,2067.671875,1458.6350788146242
elegans,4,4,5293.721,15399207,5309.132000207901,2213.628906,1438.0418975232571
elegans,4,5,5369.59,15536616,5381.851899862289,2004.558594,1415.263214970926
elegans,4,6,5213.562,15205266,5228.688199996948,2097.265625,1457.1951562404615
elegans,4,7,5309.331,15277266,5326.709500074387,2131.7109379999997,1466.6815189781028
elegans,4,8,5305.247,15646569,5317.415799856186,2102.921875,1481.7701884187945
elegans,4,9,5193.825,15504058,5205.386199951172,2107.6875,1499.507822801343
elegans,8,0,3291.624,15651232,3302.7374000549316,4114.515625,2407.00337068213
elegans,8,1,3234.044,15520474,3244.961800098419,4013.828125,2430.5257057859303
elegans,8,2,3325.329,15599621,3335.5738999843597,3953.6835939999996,2398.858192878901
elegans,8,3,3446.953,15757443,3458.73459982872,3922.7929689999996,2330.9384035004678
elegans,8,4,3263.773,15597420,3274.815299987793,3977.4726560000004,2418.5066489160135
elegans,8,5,3362.179,15301253,3373.2051000595093,4055.4570310000004,2341.9734104122376
elegans,8,6,3335.886,15716420,3346.8284997940063,4051.7148439999996,2396.4080728863187
elegans,8,7,3357.121,15548529,3367.449999809265,3935.2226560000004,2380.145442337773
elegans,8,8,3375.467,15483655,3385.5584001541138,3944.5585939999996,2318.035158615563
elegans,8,9,3284.162,15681136,3294.8822000026703,4106.371094,2421.705156772678
elegans,16,0,2651.863,15369449,2663.4688999652863,7532.3125,3158.600349848222
elegans,16,1,2481.414,15297653,2492.1788001060486,7792.667969,3367.2788242478982
elegans,16,2,2608.776,15434551,2620.0608999729156,7712.574219,3256.4269347066875
elegans,16,3,2670.521,15382305,2681.102699995041,7747.933594,3137.1242211881436
elegans,16,4,2488.834,15338601,2499.183200120926,7615.300781,3300.055130066766
elegans,16,5,2629.437,15350945,2640.987900018692,7678.667969,3230.361451005125
elegans,16,6,2771.169,15389089,2782.1935000419617,7686.113281,3093.7801126145746
elegans,16,7,2648.888,15284947,2660.1204998493195,7796.339844,3164.781437402519
elegans,16,8,2303.031,15259035,2314.7333998680115,7651.472656,3575.870227762304
elegans,16,9,2642.324,15351203,2653.3940000534058,7743.285156,3211.5123057481287
elegans,24,0,2342.347,14927357,2353.8929998874664,11172.847656,3729.5425314848926
elegans,24,1,2332.932,14981562,2343.4171998500824,10821.347656,3672.186589498988
elegans,24,2,2586.925,14751848,2598.493800163269,10845.847656,3435.2670723153774
elegans,24,3,2362.285,14987703,2373.850600004196,10944.191406,3584.584079756538
elegans,24,4,2427.227,14958942,2438.6230001449585,10930.492188,3583.712012483305
elegans,24,5,2163.966,14936456,2175.0065999031067,10878.566406,4025.9512877073275
elegans,24,6,2551.242,15134382,2562.686399936676,10912.105469,3408.6415778275173
elegans,24,7,2608.248,15084898,2618.925099849701,11243.988281,3447.844479109808
elegans,24,8,2501.04,15024780,2512.7084000110626,10880.648438,3611.006683121551
elegans,24,9,2369.089,14933282,2380.4781999588013,10979.03125,3617.1420794532023
pacificus,1,0,19613.854,17769348,19647.06199979782,570.5820309999999,435.67639215848556
pacificus,1,1,19699.273,17880063,19732.171299934387,585.9882809999999,444.647941931905
pacificus,1,2,19649.208,17800925,19682.46649980545,574.375,445.09958664097326
pacificus,1,3,19426.064,17614310,19458.972599983215,563.2109379999999,439.2317360085048
pacificus,1,4,19511.848,17679091,19545.381900072098,580.5546879999999,439.85556863321517
pacificus,1,5,19447.642,17635540,19480.501100063324,575.6601559999999,444.2669310863805
pacificus,1,6,19639.064,17806816,19672.21479988098,581.453125,441.99820813639985
pacificus,1,7,19522.013,17673479,19554.304399967194,585.9179690000001,442.8511374132107
pacificus,1,8,19656.085,17816642,19689.099900007248,567.9960940000001,434.81946383840176
pacificus,1,9,19726.239,17909494,19759.71799993515,573.7734379999999,444.113598382977
pacificus,2,0,10765.978,17897587,10785.581199884415,1145.3007810000001,831.3397187060424
pacificus,2,1,10482.112,17660783,10499.470799922943,1083.6640619999998,826.2633400251259
pacificus,2,2,10731.155,17856035,10748.647099971771,1080.5039060000001,819.1592136457061
pacificus,2,3,10691.29,17717951,10703.78200006485,1082.609375,816.2542952439464
pacificus,2,4,10733.584,17836880,10751.059900045395,1070.2851560000001,812.9385499644812
pacificus,2,5,10680.447,17683578,10698.656999826431,1075.5703119999998,801.8028957127432
pacificus,2,6,10713.143,17623921,10731.21079993248,1090.859375,822.2740362928324
pacificus,2,7,10542.378,17564696,10560.593199968338,1082.8789060000001,838.0173346663154
pacificus,2,8,10636.888,17863531,10654.876600027084,1073.2695310000001,837.1449155766529
pacificus,2,9,10545.535,17736014,10563.808599948883,1080.3632810000001,828.3611628422731
pacificus,4,0,6191.581,17674292,6204.097899913788,2133.7421879999997,1449.017315937752
pacificus,4,1,6136.005,17622997,6148.93280005455,2112.125,1440.992334434457
pacificus,4,2,6203.158,17789744,6216.563600063324,2113.832031,1422.8827349149894
pacificus,4,3,6336.678,17572179,6349.98140001297,2102.636719,1406.2621986523588
pacificus,4,4,6058.661,17243593,6082.993700027466,2134.1953120000003,1428.8434247337057
pacificus,4,5,6075.062,17378676,6088.203000068665,2039.25,1437.8387826494363
pacificus,4,6,6211.498,17558751,6227.948999881744,2231.535156,1466.2450725695696
pacificus,4,7,6065.998,17261567,6082.760599851608,2029.773438,1395.6500616297978
pacificus,4,8,6160.387,17716790,6171.854500055313,2016.015625,1431.68539946939
pacificus,4,9,6069.972,17664081,6082.0518000125885,2046.363281,1445.6016239011929
pacificus,8,0,3904.135,17502471,3914.6577999591827,3844.0585939999996,2232.3049817782226
pacificus,8,1,3820.123,17560612,3831.3954000473022,4043.1054689999996,2339.833967235183
pacificus,8,2,3759.89,17612545,3771.4412999153137,3984.101562,2339.6435260404032
pacificus,8,3,4082.077,17480712,4092.5445001125336,3985.2148439999996,2191.9468274053647
pacificus,8,4,3813.253,17619364,3824.348399877548,4140.589844,2364.5369099714976
pacificus,8,5,3931.107,17826740,3942.100000143051,4157.902344,2327.7870686024717
pacificus,8,6,3804.113,17454303,3815.2785000801086,4102.316406,2329.171058691305
pacificus,8,7,3852.482,17683218,3863.3838000297546,4050.9492189999996,2389.4883994494166
pacificus,8,8,3821.547,17637334,3832.3842000961304,3901.1210939999996,2340.9204752326095
pacificus,8,9,3896.611,17373470,3907.3594999313354,4022.3945310000004,2280.1123590956386
pacificus,16,0,2718.144,17217195,2729.31450009346,7722.199219,3346.6470565550526
pacificus,16,1,3129.504,17340726,3140.495399951935,7759.195312000001,3066.655761882472
pacificus,16,2,3142.516,17511109,3153.3142998218536,8151.992187999999,3133.8773729804
pacificus,16,3,3099.625,17591470,3119.3178000450134,7889.605469,3082.581646542565
pacificus,16,4,2993.485,17462959,3005.3450000286102,7919.414062000001,3175.8954736941446
pacificus,16,5,2901.119,17306959,2912.4530000686646,7749.210937999999,3156.9724699869334
pacificus,16,6,3056.185,17484631,3067.4927999973297,7781.984375,3109.3250675821373
pacificus,16,7,2837.511,17305772,2848.960700035095,7822.582031,3251.079049177084
pacificus,16,8,3010.056,17708929,3021.038300037384,7895.839844,3200.902104502167
pacificus,16,9,2953.267,17509929,2963.414600133896,7774.964844,3177.824224075638
pacificus,24,0,2628.42,17286252,2639.1226999759674,11015.34375,3673.1250755540054
pacificus,24,1,3116.965,17231216,3127.251100063324,11024.761719,3264.1410628767453
pacificus,24,2,2636.017,17132032,2647.1490001678467,11347.332031,3746.9077358089908
