,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
46,pf3,7679116,7,16,180,1843.23,1216.77,1782.15 MB,10175 MB
53,pf3,7679116,8,16,347,3183.0,2716.0,2043.75 MB,10299 MB
60,pf3,7679116,9,16,226,1866.73,1975.27,747.00 MB,10631 MB
67,pf3,7679116,10,16,43,469.0,262.0,373.70 MB,825706638 MB
0,pf3,7679116,1,24,331,5170.0,3105.0,3896.87 MB,14317 MB
1,pf3,7679116,2,24,345,5187.0,3438.0,2809.07 MB,15270 MB
2,pf3,7679116,3,24,168,2374.81,1825.19,2762.51 MB,7165 MB
3,pf3,7679116,4,24,165,2370.73,1754.27,4023.97 MB,8244 MB
4,pf3,7679116,5,24,167,2370.89,1804.11,4112.25 MB,8160 MB
5,pf3,7679116,6,24,335,5372.0,3003.0,3551.42 MB,14174 MB
6,pf3,7679116,7,24,342,5194.0,3356.0,3298.24 MB,16366 MB
7,pf3,7679116,8,24,340,5117.0,3383.0,3636.95 MB,15610 MB
8,pf3,7679116,9,24,175,2394.0,1981.0,91.57 MB,8239 MB
9,pf3,7679116,10,24,166,2370.49,1779.5100000000002,2509.00 MB,6563 MB
0,remanei,178090740,1,1,9617,9720.0,9514.0,2822.67 MB,6588 MB
6,remanei,178090740,2,1,18584,19007.0,18161.0,3215.17 MB,7145 MB
12,remanei,178090740,3,1,8414,10027.0,6801.0,2697.00 MB,6417 MB
18,remanei,178090740,4,1,8439,10042.0,6836.0,2769.85 MB,6412 MB
24,remanei,178090740,5,1,26309,27047.0,25571.0,3209.77 MB,7134 MB
30,remanei,178090740,6,1,9968,9956.0,9980.0,2612.27 MB,6323 MB
36,remanei,178090740,7,1,9820,9849.0,9791.0,2984.17 MB,6403 MB
42,remanei,178090740,8,1,8580,10090.0,7070.0,2806.68 MB,6380 MB
48,remanei,178090740,9,1,21305,22099.0,20511.0,3433.91 MB,7318 MB
54,remanei,178090740,10,1,24377,25252.0,23502.0,3383.74 MB,7148 MB
1,remanei,178090740,1,2,4692,9796.0,4280.0,5225.40 MB,11697 MB
7,remanei,178090740,2,2,5170,9958.0,5552.0,5328.45 MB,12745 MB
13,remanei,178090740,3,2,12458,24410.0,12964.0,6006.78 MB,13847 MB
19,remanei,178090740,4,2,11209,22056.0,11571.0,5838.38 MB,13627 MB
25,remanei,178090740,5,2,5227,9999.0,5682.0,5175.17 MB,12666 MB
31,remanei,178090740,6,2,5179,10008.0,5529.0,5682.74 MB,12888 MB
37,remanei,178090740,7,2,4145,7869.0,4566.0,5535.63 MB,12665 MB
43,remanei,178090740,8,2,12660,24798.0,13182.0,6148.43 MB,13689 MB
49,remanei,178090740,9,2,4159,7930.0,4547.0,5492.74 MB,12676 MB
55,remanei,178090740,10,2,10150,19749.0,10701.0,5641.35 MB,13868 MB
2,remanei,178090740,1,4,6015,22368.0,7707.0,11292.70 MB,27107 MB
8,remanei,178090740,2,4,5895,21369.0,8106.0,10903.76 MB,27290 MB
14,remanei,178090740,3,4,2764,9770.0,4050.0,9558.15 MB,25101 MB
20,remanei,178090740,4,4,5987,21805.0,8130.0,11277.21 MB,27074 MB
26,remanei,178090740,5,4,2275,8013.0,3362.0,9918.26 MB,25125 MB
32,remanei,178090740,6,4,6526,23482.0,9148.0,10900.88 MB,27521 MB
38,remanei,178090740,7,4,2160,8451.0,2349.0,10237.26 MB,19391 MB
44,remanei,178090740,8,4,5995,21759.0,8216.0,11503.42 MB,27039 MB
50,remanei,178090740,9,4,2322,8261.0,3349.0,9546.12 MB,20858 MB
56,remanei,178090740,10,4,6616,23363.0,9717.0,11129.29 MB,22335 MB
3,remanei,178090740,1,8,1568,9824.0,4288.0,16896.53 MB,44202 MB
9,remanei,178090740,2,8,1315,8026.0,3809.0,17910.38 MB,48272 MB
15,remanei,178090740,3,8,1302,8036.0,3682.0,16680.91 MB,48446 MB
21,remanei,178090740,4,8,1329,8168.0,3793.0,17215.28 MB,48263 MB
27,remanei,178090740,5,8,1298,7933.0,3749.0,18581.09 MB,48576 MB
33,remanei,178090740,6,8,3372,22380.0,7968.0,20037.90 MB,52046 MB
39,remanei,178090740,7,8,1288,7930.0,3662.0,15619.69 MB,50486 MB
45,remanei,178090740,8,8,1311,7990.0,3809.0,17250.66 MB,49876 MB
51,remanei,178090740,9,8,1397,8062.0,4511.0,16562.48 MB,50190 MB
57,remanei,178090740,10,8,3494,23768.0,7678.0,21097.63 MB,53758 MB
4,remanei,178090740,1,16,816,8076.0,5796.0,29722.31 MB,99439 MB
10,remanei,178090740,2,16,2210,22897.0,14673.0,34644.78 MB,105146 MB
16,remanei,178090740,3,16,1014,9972.0,7266.0,22346.46 MB,91698 MB
22,remanei,178090740,4,16,822,8025.0,5949.0,26980.46 MB,98636 MB
28,remanei,178090740,5,16,912,7996.0,7508.0,23558.30 MB,98802 MB
34,remanei,178090740,6,16,831,8171.0,5956.0,25691.91 MB,99251 MB
40,remanei,178090740,7,16,843,8101.36,6229.64,26122.84 MB,97928 MB
46,remanei,178090740,8,16,827,7993.0,6066.0,31102.75 MB,95701 MB
52,remanei,178090740,9,16,828,8078.67,5997.33,26937.60 MB,97024 MB
58,remanei,178090740,10,16,837,8048.29,6180.71,27236.99 MB,99389 MB
0,remanei,178090740,5,24,495,7857.8,4517.2,39505.02 MB,117324 MB
1,remanei,178090740,6,24,1305,22978.0,9647.0,55167.88 MB,119369 MB
2,remanei,178090740,7,24,488,7823.02,4376.98,41927.21 MB,119213 MB
3,remanei,178090740,8,24,481,7802.57,4222.43,46585.91 MB,108829 MB
4,remanei,178090740,9,24,478,7831.0,4119.0,38397.42 MB,117456 MB
5,remanei,178090740,10,24,479,7828.14,4146.86,35175.67 MB,110674 MB
0,thaliana,179025105,1,1,12006,12033.0,11979.0,3362.73 MB,6403 MB
6,thaliana,179025105,2,1,9862,11072.0,8652.0,3178.00 MB,6538 MB
12,thaliana,179025105,3,1,13352,13564.0,13140.0,3272.19 MB,6410 MB
18,thaliana,179025105,4,1,13302,13540.0,13064.0,3069.08 MB,6550 MB
24,thaliana,179025105,5,1,9874,11114.0,8634.0,3155.09 MB,6517 MB
30,thaliana,179025105,6,1,13477,13640.0,13314.0,3217.31 MB,6408 MB
36,thaliana,179025105,7,1,32031,33142.0,30920.0,3861.73 MB,6307 MB
42,thaliana,179025105,8,1,12192,13825.0,10559.0,3196.07 MB,6372 MB
48,thaliana,179025105,9,1,34764,35232.0,34296.0,3817.85 MB,6176 MB
54,thaliana,179025105,10,1,13318,13516.0,13120.0,3256.77 MB,6444 MB
1,thaliana,179025105,1,2,6919,13430.0,7327.0,6360.87 MB,12646 MB
7,thaliana,179025105,2,2,7566,14735.0,7963.0,6338.98 MB,12713 MB
13,thaliana,179025105,3,2,5704,11003.0,6109.0,6139.20 MB,12781 MB
19,thaliana,179025105,4,2,6984,13574.0,7378.0,6339.27 MB,12842 MB
25,thaliana,179025105,5,2,14746,28998.0,15240.0,7382.76 MB,12380 MB
31,thaliana,179025105,6,2,6558,13531.0,6143.0,5683.11 MB,12621 MB
37,thaliana,179025105,7,2,16091,31914.0,16359.0,7413.34 MB,13523 MB
43,thaliana,179025105,8,2,6572,13538.0,6178.0,6056.56 MB,12632 MB
49,thaliana,179025105,9,2,18951,37456.0,19397.0,7493.60 MB,12816 MB
55,thaliana,179025105,10,2,22048,39388.0,26756.0,7359.57 MB,12747 MB
2,thaliana,179025105,1,4,3853,14013.0,5252.0,11319.37 MB,25178 MB
8,thaliana,179025105,2,4,9921,37493.0,12112.0,13698.18 MB,25318 MB
14,thaliana,179025105,3,4,3973,14890.0,4975.0,11798.19 MB,22542 MB
20,thaliana,179025105,4,4,4030,14680.0,5470.0,11799.81 MB,25375 MB
26,thaliana,179025105,5,4,4058,14794.0,5496.0,11433.72 MB,24743 MB
32,thaliana,179025105,6,4,4192,15401.0,5559.0,11943.13 MB,25366 MB
38,thaliana,179025105,7,4,8404,31295.0,10725.0,13248.78 MB,24901 MB
44,thaliana,179025105,8,4,2997,11159.0,3826.0,11260.72 MB,20611 MB
50,thaliana,179025105,9,4,3029,11297.0,3848.0,11072.37 MB,19639 MB
56,thaliana,179025105,10,4,3833,13878.0,5287.0,11596.32 MB,25418 MB
3,thaliana,179025105,1,8,2134,14195.0,5011.0,19515.62 MB,44082 MB
9,thaliana,179025105,2,8,1735,11320.0,4295.0,21391.09 MB,50295 MB
15,thaliana,179025105,3,8,2238,14643.0,5499.0,20201.24 MB,49167 MB
21,thaliana,179025105,4,8,1881,12141.0,4788.0,20466.81 MB,49217 MB
27,thaliana,179025105,5,8,1775,11648.0,4327.0,19883.67 MB,43150 MB
33,thaliana,179025105,6,8,2242,14165.0,6013.0,21406.07 MB,50088 MB
39,thaliana,179025105,7,8,1719,10968.0,4503.0,19952.96 MB,49422 MB
45,thaliana,179025105,8,8,2143,14024.0,5263.0,20262.05 MB,43880 MB
51,thaliana,179025105,9,8,2280,14951.0,5569.0,21240.14 MB,49287 MB
57,thaliana,179025105,10,8,2344,15400.0,5696.0,20262.75 MB,48513 MB
4,thaliana,179025105,1,16,1079,11273.0,7070.0,32279.68 MB,99621 MB
10,thaliana,179025105,2,16,1109,11723.0,7130.0,32019.38 MB,98105 MB
16,thaliana,179025105,3,16,1140,12207.0,7173.0,34036.45 MB,91419 MB
22,thaliana,179025105,4,16,1058,11134.0,6852.0,34653.42 MB,99418 MB
28,thaliana,179025105,5,16,1146,12400.97,7081.0300000000025,35056.38 MB,97549 MB
34,thaliana,179025105,6,16,2947,37018.0,13081.0,45826.88 MB,96933 MB
40,thaliana,179025105,7,16,1360,14667.0,8453.0,35052.27 MB,96214 MB
46,thaliana,179025105,8,16,1082,11475.52,6918.48,31222.65 MB,95943 MB
52,thaliana,179025105,9,16,1076,11245.0,7047.0,31892.96 MB,99227 MB
58,thaliana,179025105,10,16,3128,37226.0,15950.0,43276.57 MB,99170 MB
0,thaliana,179025105,1,24,2528,36578.0,26622.0,67385.34 MB,123381 MB
1,thaliana,179025105,2,24,621,11496.14,4028.860000000001,64250.77 MB,126181 MB
2,thaliana,179025105,4,24,620,11454.29,4045.7099999999987,64429.84 MB,118740 MB
3,thaliana,179025105,5,24,693,12893.0,4432.0,68792.89 MB,123136 MB
4,thaliana,179025105,6,24,860,15561.0,5939.0,51456.12 MB,112391 MB
5,thaliana,179025105,7,24,607,10900.0,4275.0,52095.84 MB,123713 MB
6,thaliana,179025105,9,24,658,11626.0,4824.0,54392.71 MB,124574 MB
7,thaliana,179025105,10,24,651,11960.0,4315.0,65862.95 MB,119892 MB
