,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
36,elegans,111913131,7,1,13735,14268.0,13202.0,2174.29 MB,5327 MB
42,elegans,111913131,8,1,11646,12111.0,11181.0,2078.30 MB,5416 MB
48,elegans,111913131,9,1,10992,13982.0,8002.0,2015.86 MB,5152 MB
54,elegans,111913131,10,1,14000,14569.0,13431.0,2057.94 MB,5151 MB
1,elegans,111913131,1,2,6890,13554.0,7116.0,3961.05 MB,10177 MB
7,elegans,111913131,2,2,6477,12746.0,6685.0,4027.23 MB,10092 MB
13,elegans,111913131,3,2,7058,13912.0,7262.0,4057.39 MB,10234 MB
19,elegans,111913131,4,2,2952,5665.0,3191.0,3215.83 MB,8626 MB
25,elegans,111913131,5,2,2868,5436.0,3168.0,3498.94 MB,8461 MB
31,elegans,111913131,6,2,7134,13855.0,7547.0,3612.41 MB,10200 MB
37,elegans,111913131,7,2,5373,11223.0,4896.0,3515.29 MB,7935 MB
43,elegans,111913131,8,2,2809,5369.0,3058.0,3936.29 MB,9093 MB
49,elegans,111913131,9,2,6598,14378.0,5416.0,3995.81 MB,9818 MB
55,elegans,111913131,10,2,7807,15255.0,8166.0,3842.77 MB,8817 MB
2,elegans,111913131,1,4,3912,14160.0,5400.0,7585.92 MB,20323 MB
8,elegans,111913131,2,4,1450,5431.0,1819.0,5545.92 MB,12794 MB
14,elegans,111913131,3,4,3541,13547.0,4158.0,7121.76 MB,15167 MB
20,elegans,111913131,4,4,1455,5398.0,1877.0,6068.27 MB,13358 MB
26,elegans,111913131,5,4,3481,12605.0,4800.0,6951.23 MB,13429 MB
32,elegans,111913131,6,4,1558,5488.0,2302.0,5914.40 MB,16422 MB
38,elegans,111913131,7,4,3988,14487.0,5453.0,7097.04 MB,20376 MB
44,elegans,111913131,8,4,1446,5411.0,1819.0,6196.93 MB,13325 MB
50,elegans,111913131,9,4,3551,12626.0,5129.0,7030.04 MB,20206 MB
56,elegans,111913131,10,4,1476,5518.0,1862.0,5964.65 MB,13638 MB
3,elegans,111913131,1,8,1583,6605.0,7642.0,9439.12 MB,26267 MB
9,elegans,111913131,2,8,874,5405.0,2461.0,10039.24 MB,34524 MB
15,elegans,111913131,3,8,2321,15026.0,5863.0,13044.39 MB,40140 MB
21,elegans,111913131,4,8,2089,13480.0,5321.0,12385.56 MB,37281 MB
27,elegans,111913131,5,8,2273,14381.0,6076.0,13005.35 MB,37540 MB
33,elegans,111913131,6,8,895,5474.0,2581.0,8972.58 MB,33586 MB
39,elegans,111913131,7,8,2182,14334.0,5304.0,13844.45 MB,37255 MB
45,elegans,111913131,8,8,1962,12355.0,5303.0,12163.22 MB,39269 MB
51,elegans,111913131,9,8,864,5456.25,2319.75,10094.72 MB,29822 MB
57,elegans,111913131,10,8,948,5555.0,2977.0,10181.25 MB,34609 MB
4,elegans,111913131,1,16,568,5560.09,4095.91,13877.49 MB,70238 MB
10,elegans,111913131,2,16,545,5357.32,3907.68,12896.22 MB,69829 MB
16,elegans,111913131,3,16,1304,12859.0,9309.0,19028.72 MB,78430 MB
22,elegans,111913131,4,16,545,5389.0,3876.0,17139.10 MB,68608 MB
28,elegans,111913131,5,16,538,5357.52,3788.48,18510.60 MB,70400 MB
34,elegans,111913131,6,16,658,6452.0,4734.0,17957.32 MB,65260 MB
40,elegans,111913131,7,16,1304,13811.0,8357.0,20006.15 MB,78326 MB
46,elegans,111913131,8,16,558,5458.0,4028.0,13940.38 MB,64740 MB
52,elegans,111913131,9,16,722,6470.18,5803.82,17549.18 MB,57291 MB
58,elegans,111913131,10,16,1343,13016.0,9815.0,17022.44 MB,77555 MB
0,elegans,111913131,1,24,342,5438.0,3112.0,22900.48 MB,73504 MB
1,elegans,111913131,2,24,351,5443.0,3332.0,27492.29 MB,71483 MB
2,elegans,111913131,3,24,911,15612.0,7163.0,31938.36 MB,76393 MB
3,elegans,111913131,4,24,335,5557.83,2817.17,31846.71 MB,75207 MB
4,elegans,111913131,5,24,916,15774.0,7126.0,32587.69 MB,69654 MB
5,elegans,111913131,6,24,350,5595.0,3155.0,26714.26 MB,69070 MB
6,elegans,111913131,7,24,895,15491.0,6884.0,32222.07 MB,75686 MB
7,elegans,111913131,8,24,329,5494.84,2730.16,25728.96 MB,72216 MB
8,elegans,111913131,9,24,328,5460.0,2740.0,27261.21 MB,73270 MB
9,elegans,111913131,10,24,326,5465.45,2684.55,22532.86 MB,75643 MB
0,pacificus,176725568,1,1,8884,8959.0,8809.0,2854.95 MB,6437 MB
6,pacificus,176725568,2,1,8375,8451.0,8299.0,2812.04 MB,6521 MB
12,pacificus,176725568,3,1,8209,8270.0,8148.0,2820.15 MB,6428 MB
18,pacificus,176725568,4,1,10066,10278.0,9854.0,3080.11 MB,6602 MB
24,pacificus,176725568,5,1,31395,32792.0,29998.0,3627.89 MB,6710 MB
30,pacificus,176725568,6,1,18127,21747.0,14507.0,3157.17 MB,7063 MB
36,pacificus,176725568,7,1,28947,30224.0,27670.0,3327.42 MB,6765 MB
42,pacificus,176725568,8,1,10099,10292.0,9906.0,3004.53 MB,6473 MB
48,pacificus,176725568,9,1,28375,32245.0,24505.0,3376.65 MB,7034 MB
54,pacificus,176725568,10,1,10057,10263.0,9851.0,3058.27 MB,6603 MB
1,pacificus,176725568,1,2,4642,8937.0,4989.0,5997.20 MB,12893 MB
7,pacificus,176725568,2,2,4330,8256.0,4734.0,5700.37 MB,12760 MB
13,pacificus,176725568,3,2,5248,10138.0,5606.0,5629.70 MB,12743 MB
19,pacificus,176725568,4,2,15040,29869.0,15251.0,6393.93 MB,13072 MB
25,pacificus,176725568,5,2,5271,10185.0,5628.0,5513.46 MB,12734 MB
31,pacificus,176725568,6,2,11004,21598.0,11414.0,6261.38 MB,13198 MB
37,pacificus,176725568,7,2,5224,10080.0,5592.0,6060.18 MB,12911 MB
43,pacificus,176725568,8,2,5247,10134.0,5607.0,5760.11 MB,12884 MB
49,pacificus,176725568,9,2,5231,10099.0,5594.0,5679.84 MB,12781 MB
55,pacificus,176725568,10,2,12131,24138.0,12255.0,5849.52 MB,12171 MB
